customer_id,customer_segment,registration_date,total_spent,avg_order_value,total_orders,first_purchase,last_purchase,customer_lifetime_days,recency_days,spending_tier,order_frequency_tier
CUST_00001,Regular,2022-12-15,3842.83,349.3481818181818,11,2022-09-22,2024-08-03,681,29,High,Regular
CUST_00002,Premium,2022-03-13,7546.39,580.4915384615385,13,2022-01-25,2024-05-13,839,111,Premium,Frequent
CUST_00003,Regular,2022-04-13,1538.28,256.38,6,2022-01-12,2024-04-13,822,141,Low,Infrequent
CUST_00004,Regular,2022-08-03,4289.73,428.97299999999996,10,2022-01-23,2024-01-07,714,238,High,Occasional
CUST_00005,Premium,2022-03-29,3653.49,365.349,10,2022-03-08,2024-08-13,889,19,High,Occasional
CUST_00006,Regular,2022-12-26,3035.35,505.89166666666665,6,2022-02-06,2023-12-15,677,261,Medium,Infrequent
CUST_00007,Budget,2022-05-30,4392.96,878.592,5,2022-02-06,2023-12-09,671,267,High,Infrequent
CUST_00008,Premium,2022-12-10,5494.75,499.52272727272725,11,2022-01-05,2024-02-26,782,188,Premium,Regular
CUST_00009,Budget,2022-10-21,1284.96,160.62,8,2022-04-26,2024-07-07,803,56,Low,Infrequent
CUST_00010,Premium,2022-10-04,12471.67,890.8335714285714,14,2022-04-21,2024-07-28,829,35,Premium,Frequent
CUST_00011,Regular,2022-11-10,3723.37,372.337,10,2022-01-01,2024-04-17,837,137,High,Occasional
CUST_00012,Regular,2022-08-24,7774.83,777.483,10,2022-02-21,2024-01-03,681,242,Premium,Occasional
CUST_00013,Premium,2022-02-28,449.95000000000005,224.97500000000002,2,2023-05-31,2023-11-18,171,288,Low,Infrequent
CUST_00014,Regular,2022-07-07,6353.92,635.392,10,2022-02-25,2024-04-05,770,149,Premium,Occasional
CUST_00015,Regular,2022-07-09,544.21,136.0525,4,2023-05-11,2024-08-27,474,5,Low,Infrequent
CUST_00016,Premium,2022-02-20,5320.34,532.034,10,2022-03-25,2024-08-14,873,18,Premium,Occasional
CUST_00017,Regular,2022-09-01,2029.2700000000002,507.31750000000005,4,2023-03-06,2023-05-01,56,489,Medium,Infrequent
CUST_00018,Regular,2022-05-11,3308.99,330.899,10,2022-04-06,2024-04-29,754,125,High,Occasional
CUST_00019,Budget,2022-05-15,4413.52,490.3911111111112,9,2022-01-12,2024-02-14,763,200,High,Occasional
CUST_00020,Premium,2022-06-16,2473.68,309.21,8,2022-04-18,2024-06-15,789,78,Medium,Infrequent
CUST_00021,Premium,2022-03-30,14430.85,1110.0653846153846,13,2022-01-21,2024-08-02,924,30,Premium,Frequent
CUST_00022,Budget,2022-08-30,1304.04,81.5025,16,2022-01-18,2024-03-21,793,164,Low,Frequent
CUST_00023,Regular,2022-12-12,1465.54,183.1925,8,2022-03-07,2024-08-17,894,15,Low,Infrequent
CUST_00024,Premium,2022-12-06,6553.16,936.1657142857142,7,2022-03-05,2024-08-04,883,28,Premium,Infrequent
CUST_00025,Regular,2022-09-21,2292.62,254.73555555555555,9,2022-01-05,2024-03-06,791,179,Medium,Occasional
CUST_00026,Premium,2022-07-25,4290.71,330.0546153846154,13,2022-02-02,2024-06-19,868,74,High,Frequent
CUST_00027,Regular,2022-02-19,10544.1,811.0846153846154,13,2022-01-23,2024-07-10,899,53,Premium,Frequent
CUST_00028,Regular,2022-01-02,4852.42,441.1290909090909,11,2022-04-20,2024-06-11,783,82,High,Regular
CUST_00029,Regular,2022-02-23,2873.06,319.2288888888889,9,2022-03-26,2024-08-15,873,17,Medium,Occasional
CUST_00030,Regular,2022-11-06,6012.76,400.85066666666665,15,2022-01-10,2024-06-19,891,74,Premium,Frequent
CUST_00031,Premium,2022-08-06,12933.529999999999,1437.0588888888888,9,2022-03-20,2024-08-04,868,28,Premium,Occasional
CUST_00032,Regular,2022-07-21,6449.33,586.3027272727272,11,2022-02-20,2024-05-23,823,101,Premium,Regular
CUST_00033,Budget,2022-09-27,2784.13,397.73285714285714,7,2022-05-07,2024-05-24,748,100,Medium,Infrequent
CUST_00034,Budget,2022-09-28,3331.28,370.14222222222224,9,2022-06-06,2023-09-11,462,356,High,Occasional
CUST_00035,Premium,2022-08-03,8826.18,588.412,15,2022-06-03,2024-07-25,783,38,Premium,Frequent
CUST_00036,Regular,2022-07-09,6267.72,626.772,10,2022-06-17,2024-04-06,659,148,Premium,Occasional
CUST_00037,Regular,2022-07-27,2435.89,487.178,5,2022-02-05,2024-04-25,810,129,Medium,Infrequent
CUST_00038,Budget,2022-02-22,10849.11,904.0925000000001,12,2022-02-04,2024-05-18,834,106,Premium,Regular
CUST_00039,Regular,2022-08-05,2203.07,146.87133333333335,15,2022-02-09,2024-08-18,921,14,Medium,Frequent
CUST_00040,Regular,2022-02-10,5351.94,486.53999999999996,11,2022-02-27,2023-12-04,645,272,Premium,Regular
CUST_00041,Regular,2022-10-28,3981.21,265.414,15,2022-03-30,2024-05-16,778,108,High,Frequent
CUST_00042,Premium,2022-11-23,5167.72,469.7927272727273,11,2022-02-28,2024-08-03,887,29,High,Regular
CUST_00043,Regular,2022-05-09,5007.65,834.6083333333332,6,2022-01-15,2024-08-01,929,31,High,Infrequent
CUST_00044,Premium,2022-03-04,3529.1600000000003,352.91600000000005,10,2022-01-30,2024-04-03,794,151,High,Occasional
CUST_00045,Budget,2022-03-22,3171.44,396.43,8,2022-02-21,2024-08-13,904,19,Medium,Infrequent
CUST_00046,Budget,2022-10-16,1740.2099999999998,193.35666666666665,9,2022-01-22,2024-08-12,933,20,Low,Occasional
CUST_00047,Regular,2022-08-19,4533.26,647.6085714285715,7,2022-04-05,2024-08-30,878,2,High,Infrequent
CUST_00048,Regular,2022-01-28,3992.0599999999995,362.9145454545454,11,2022-02-08,2024-07-13,886,50,High,Regular
CUST_00049,Budget,2022-11-24,1988.08,180.73454545454544,11,2022-02-20,2024-06-06,837,87,Low,Regular
CUST_00050,Regular,2022-02-02,7441.24,826.8044444444445,9,2022-02-17,2024-07-02,866,61,Premium,Occasional
CUST_00051,Premium,2022-03-03,2212.32,276.54,8,2022-04-08,2024-06-27,811,66,Medium,Infrequent
CUST_00052,Regular,2022-04-09,2189.83,312.8328571428571,7,2022-03-07,2024-08-19,896,13,Medium,Infrequent
CUST_00053,Regular,2022-08-02,10155.09,1269.38625,8,2022-03-06,2024-08-14,892,18,Premium,Infrequent
CUST_00054,Budget,2022-08-15,674.51,112.41833333333334,6,2022-02-05,2024-04-24,809,130,Low,Infrequent
CUST_00055,Premium,2022-05-11,9386.16,1173.27,8,2022-09-12,2024-01-10,485,235,Premium,Infrequent
CUST_00056,Budget,2022-08-06,673.9499999999999,74.88333333333333,9,2022-02-19,2024-08-22,915,10,Low,Occasional
CUST_00057,Regular,2022-12-25,3468.8900000000003,495.5557142857143,7,2022-01-06,2024-04-17,832,137,High,Infrequent
CUST_00058,Premium,2022-07-26,2976.82,372.1025,8,2022-01-13,2024-06-05,874,88,Medium,Infrequent
CUST_00059,Regular,2022-02-11,6512.31,592.0281818181819,11,2022-01-31,2024-08-10,922,22,Premium,Regular
CUST_00060,Regular,2022-06-28,5742.32,441.7169230769231,13,2022-03-06,2024-07-13,860,50,Premium,Frequent
CUST_00061,Premium,2022-08-19,7497.429999999999,833.0477777777777,9,2022-05-09,2024-07-22,805,41,Premium,Occasional
CUST_00062,Regular,2022-04-06,2042.95,204.29500000000002,10,2022-01-02,2024-05-07,856,117,Medium,Occasional
CUST_00063,Regular,2022-08-19,6577.62,438.508,15,2022-01-15,2024-07-21,918,42,Premium,Frequent
CUST_00064,Regular,2022-06-20,4779.42,434.4927272727273,11,2022-04-11,2024-08-29,871,3,High,Regular
CUST_00065,Regular,2022-01-13,2893.9300000000003,321.5477777777778,9,2022-02-22,2024-06-14,843,79,Medium,Occasional
CUST_00066,Premium,2022-07-06,5336.33,444.69416666666666,12,2022-01-10,2024-08-07,940,25,Premium,Regular
CUST_00067,Regular,2022-10-11,7774.87,370.23190476190473,21,2022-01-06,2024-08-15,952,17,Premium,Frequent
CUST_00068,Budget,2022-02-14,2227.5,159.10714285714286,14,2022-07-06,2024-07-12,737,51,Medium,Frequent
CUST_00069,Regular,2022-05-14,6887.6900000000005,983.9557142857144,7,2022-06-26,2024-05-01,675,123,Premium,Infrequent
CUST_00070,Regular,2022-04-18,4569.79,507.75444444444446,9,2022-03-01,2024-08-05,888,27,High,Occasional
CUST_00071,Premium,2022-10-13,2781.74,397.39142857142855,7,2023-05-21,2024-07-24,430,39,Medium,Infrequent
CUST_00072,Budget,2022-05-08,5983.76,747.97,8,2022-09-05,2024-06-21,655,72,Premium,Infrequent
CUST_00073,Budget,2022-12-14,4506.88,500.76444444444445,9,2022-01-13,2024-06-24,893,69,High,Occasional
CUST_00074,Regular,2022-07-09,9567.210000000001,562.7770588235295,17,2022-04-03,2024-03-19,716,166,Premium,Frequent
CUST_00075,Premium,2022-10-10,8101.21,1012.65125,8,2022-05-08,2024-08-01,816,31,Premium,Infrequent
CUST_00076,Regular,2022-04-26,8636.39,1079.54875,8,2022-01-23,2024-08-31,951,1,Premium,Infrequent
