Month,Total_Revenue,Total_Transactions,Unique_Customers,Avg_Order_Value,Revenue_Growth
2022-01,653950.87,1561,1310,418.93073030108906,
2022-02,565178.3,1403,1205,402.8355666429081,-13.574807232843034
2022-03,657491.73,1643,1412,400.17755934266586,16.333505727307628
2022-04,633297.14,1525,1321,415.27681311475413,-3.6798318360597437
2022-05,600118.33,1538,1341,390.1939726918075,-5.239058872111768
2022-06,617380.58,1546,1352,399.34060802069854,2.876474377978089
2022-07,612017.71,1578,1362,387.84392268694546,-0.8686489620389426
2022-08,606226.9,1602,1374,378.41878901373286,-0.9461834037449601
2022-09,644191.08,1593,1364,404.38862523540485,6.26237139922361
2022-10,693020.63,1651,1413,419.7581041792853,7.579979219830246
2022-11,582886.74,1552,1331,375.5713530927835,-15.89186313255927
2022-12,617847.26,1569,1361,393.7841045251753,5.997823865404794
2023-01,667092.57,1547,1314,431.2169166127989,7.970466681360677
2023-02,595989.28,1465,1270,406.8186211604096,-10.65868414633968
2023-03,652752.32,1549,1340,421.4024015493867,9.524171307242302
2023-04,603429.36,1568,1355,384.8401530612245,-7.556152385639924
2023-05,624238.92,1563,1332,399.38510556621884,3.44854947064559
2023-06,669021.0,1539,1317,434.71150097465886,7.173868620687718
2023-07,654840.88,1621,1384,403.9733991363356,-2.1195328696707594
2023-08,647618.89,1589,1350,407.56380742605415,-1.1028618127811418
2023-09,606864.86,1588,1370,382.1567128463476,-6.292903222758072
2023-10,714314.04,1610,1372,443.6733167701864,17.705619007170736
2023-11,612956.14,1574,1348,389.42575603557816,-14.18954329947092
2023-12,601412.57,1538,1335,391.0354811443433,-1.8832619900014502
2024-01,642980.28,1532,1324,419.6999216710183,6.911679614544819
2024-02,610635.29,1484,1290,411.4793059299192,-5.030479317343916
2024-03,653987.27,1600,1363,408.74204375,7.099488141276611
2024-04,650062.09,1482,1281,438.6383873144399,-0.6001921107730457
2024-05,647821.68,1579,1375,410.2733882203927,-0.3446455399360282
2024-06,592869.36,1518,1309,390.5595256916996,-8.482630590566231
2024-07,647404.54,1657,1394,390.7088352444176,9.198515504326288
2024-08,657189.83,1594,1364,412.28973023839393,1.5114645318983877
2024-09,13588.92,42,42,323.54571428571427,-97.93226867189956
