customer_id,customer_segment,registration_date
CUST_00001,Regular,2022-12-15
CUST_00002,Premium,2022-03-13
CUST_00003,Regular,2022-04-13
CUST_00004,Regular,2022-08-03
CUST_00005,Premium,2022-03-29
CUST_00006,Regular,2022-12-26
CUST_00007,Budget,2022-05-30
CUST_00008,Premium,2022-12-10
CUST_00009,Budget,2022-10-21
CUST_00010,Premium,2022-10-04
CUST_00011,Regular,2022-11-10
CUST_00012,Regular,2022-08-24
CUST_00013,Premium,2022-02-28
CUST_00014,Regular,2022-07-07
CUST_00015,Regular,2022-07-09
CUST_00016,Premium,2022-02-20
CUST_00017,Regular,2022-09-01
CUST_00018,Regular,2022-05-11
CUST_00019,Budget,2022-05-15
CUST_00020,Premium,2022-06-16
CUST_00021,Premium,2022-03-30
CUST_00022,Budget,2022-08-30
CUST_00023,Regular,2022-12-12
CUST_00024,Premium,2022-12-06
CUST_00025,Regular,2022-09-21
CUST_00026,Premium,2022-07-25
CUST_00027,Regular,2022-02-19
CUST_00028,Regular,2022-01-02
CUST_00029,Regular,2022-02-23
CUST_00030,Regular,2022-11-06
CUST_00031,Premium,2022-08-06
CUST_00032,Regular,2022-07-21
CUST_00033,Budget,2022-09-27
CUST_00034,Budget,2022-09-28
CUST_00035,Premium,2022-08-03
CUST_00036,Regular,2022-07-09
CUST_00037,Regular,2022-07-27
CUST_00038,Budget,2022-02-22
CUST_00039,Regular,2022-08-05
CUST_00040,Regular,2022-02-10
CUST_00041,Regular,2022-10-28
CUST_00042,Premium,2022-11-23
CUST_00043,Regular,2022-05-09
CUST_00044,Premium,2022-03-04
CUST_00045,Budget,2022-03-22
CUST_00046,Budget,2022-10-16
CUST_00047,Regular,2022-08-19
CUST_00048,Regular,2022-01-28
CUST_00049,Budget,2022-11-24
CUST_00050,Regular,2022-02-02
CUST_00051,Premium,2022-03-03
CUST_00052,Regular,2022-04-09
CUST_00053,Regular,2022-08-02
CUST_00054,Budget,2022-08-15
CUST_00055,Premium,2022-05-11
CUST_00056,Budget,2022-08-06
CUST_00057,Regular,2022-12-25
CUST_00058,Premium,2022-07-26
CUST_00059,Regular,2022-02-11
CUST_00060,Regular,2022-06-28
CUST_00061,Premium,2022-08-19
CUST_00062,Regular,2022-04-06
CUST_00063,Regular,2022-08-19
CUST_00064,Regular,2022-06-20
CUST_00065,Regular,2022-01-13
CUST_00066,Premium,2022-07-06
CUST_00067,Regular,2022-10-11
CUST_00068,Budget,2022-02-14
CUST_00069,Regular,2022-05-14
CUST_00070,Regular,2022-04-18
CUST_00071,Premium,2022-10-13
CUST_00072,Budget,2022-05-08
CUST_00073,Budget,2022-12-14
CUST_00074,Regular,2022-07-09
CUST_00075,Premium,2022-10-10
CUST_00076,Regular,2022-04-26
CUST_00077,Regular,2022-09-16
CUST_00078,Premium,2022-05-17
CUST_00079,Regular,2022-08-13
CUST_00080,Premium,2022-06-21
CUST_00081,Regular,2022-11-11
CUST_00082,Regular,2022-04-06
CUST_00083,Regular,2022-06-29
CUST_00084,Regular,2022-02-21
CUST_00085,Regular,2022-10-22
CUST_00086,Regular,2022-04-23
CUST_00087,Premium,2022-03-22
CUST_00088,Regular,2022-01-02
CUST_00089,Regular,2022-02-23
CUST_00090,Premium,2022-08-12
CUST_00091,Budget,2022-05-06
CUST_00092,Premium,2022-06-21
CUST_00093,Regular,2022-07-17
CUST_00094,Regular,2022-11-20
CUST_00095,Premium,2022-07-03
CUST_00096,Regular,2022-09-12
CUST_00097,Budget,2022-11-21
CUST_00098,Regular,2022-07-17
CUST_00099,Regular,2022-08-28
CUST_00100,Budget,2022-07-20
CUST_00101,Regular,2022-11-22
CUST_00102,Regular,2022-09-16
CUST_00103,Regular,2022-12-12
CUST_00104,Regular,2022-05-27
CUST_00105,Regular,2022-07-18
CUST_00106,Premium,2022-05-08
CUST_00107,Regular,2022-12-26
CUST_00108,Premium,2022-05-31
CUST_00109,Regular,2022-10-25
CUST_00110,Regular,2022-09-09
CUST_00111,Premium,2022-04-22
CUST_00112,Regular,2022-03-01
CUST_00113,Regular,2022-10-31
CUST_00114,Budget,2022-02-06
CUST_00115,Budget,2022-01-09
CUST_00116,Regular,2022-05-27
CUST_00117,Budget,2022-05-11
CUST_00118,Budget,2022-02-23
CUST_00119,Budget,2022-04-26
CUST_00120,Premium,2022-04-14
CUST_00121,Regular,2022-08-15
CUST_00122,Regular,2022-04-09
CUST_00123,Budget,2022-12-04
CUST_00124,Regular,2022-06-12
CUST_00125,Regular,2022-06-18
CUST_00126,Premium,2022-03-09
CUST_00127,Regular,2022-10-04
CUST_00128,Premium,2022-05-15
CUST_00129,Budget,2022-05-08
CUST_00130,Regular,2022-01-22
CUST_00131,Regular,2022-02-07
CUST_00132,Budget,2022-02-20
CUST_00133,Budget,2022-10-10
CUST_00134,Regular,2022-10-04
CUST_00135,Regular,2022-10-11
CUST_00136,Regular,2022-11-13
CUST_00137,Regular,2022-01-04
CUST_00138,Premium,2022-02-18
CUST_00139,Premium,2022-06-21
CUST_00140,Budget,2022-02-15
CUST_00141,Budget,2022-04-09
CUST_00142,Budget,2022-02-06
CUST_00143,Budget,2022-10-29
CUST_00144,Budget,2022-04-09
CUST_00145,Budget,2022-04-26
CUST_00146,Regular,2022-06-10
CUST_00147,Regular,2022-05-08
CUST_00148,Regular,2022-08-11
CUST_00149,Budget,2022-11-19
CUST_00150,Regular,2022-10-07
CUST_00151,Regular,2022-12-08
CUST_00152,Regular,2022-05-07
CUST_00153,Regular,2022-09-30
CUST_00154,Budget,2022-10-26
CUST_00155,Budget,2022-02-08
CUST_00156,Regular,2022-09-04
CUST_00157,Regular,2022-11-02
CUST_00158,Budget,2022-01-13
CUST_00159,Premium,2022-11-09
CUST_00160,Regular,2022-01-20
CUST_00161,Regular,2022-05-22
CUST_00162,Budget,2022-05-23
CUST_00163,Regular,2022-11-18
CUST_00164,Regular,2022-12-08
CUST_00165,Regular,2022-07-05
CUST_00166,Regular,2022-05-05
CUST_00167,Budget,2022-02-27
CUST_00168,Premium,2022-06-29
CUST_00169,Premium,2022-09-28
CUST_00170,Regular,2022-04-11
CUST_00171,Regular,2022-02-22
CUST_00172,Regular,2022-04-18
CUST_00173,Regular,2022-07-15
CUST_00174,Budget,2022-12-16
CUST_00175,Regular,2022-11-07
CUST_00176,Premium,2022-05-24
CUST_00177,Budget,2022-05-04
CUST_00178,Budget,2022-05-27
CUST_00179,Budget,2022-11-15
CUST_00180,Regular,2022-02-27
CUST_00181,Premium,2022-08-17
CUST_00182,Premium,2022-11-14
CUST_00183,Budget,2022-05-09
CUST_00184,Premium,2022-01-01
CUST_00185,Regular,2022-04-06
CUST_00186,Regular,2022-02-17
CUST_00187,Premium,2022-08-25
CUST_00188,Regular,2022-09-29
CUST_00189,Regular,2022-07-11
CUST_00190,Regular,2022-10-05
CUST_00191,Budget,2022-03-17
CUST_00192,Regular,2022-03-27
CUST_00193,Premium,2022-08-08
CUST_00194,Premium,2022-04-04
CUST_00195,Budget,2022-07-23
CUST_00196,Premium,2022-12-07
CUST_00197,Regular,2022-10-16
CUST_00198,Regular,2022-12-23
CUST_00199,Regular,2022-01-10
CUST_00200,Budget,2022-04-10
CUST_00201,Premium,2022-08-11
CUST_00202,Premium,2022-05-27
CUST_00203,Regular,2022-09-14
CUST_00204,Regular,2022-01-04
CUST_00205,Regular,2022-12-02
CUST_00206,Regular,2022-06-09
CUST_00207,Budget,2022-06-01
CUST_00208,Regular,2022-06-12
CUST_00209,Regular,2022-06-28
CUST_00210,Budget,2022-09-25
CUST_00211,Regular,2022-06-17
CUST_00212,Budget,2022-02-13
CUST_00213,Regular,2022-01-12
CUST_00214,Premium,2022-09-10
CUST_00215,Premium,2022-02-04
CUST_00216,Regular,2022-03-31
CUST_00217,Regular,2022-03-31
CUST_00218,Regular,2022-04-25
CUST_00219,Regular,2022-07-15
CUST_00220,Regular,2022-04-24
CUST_00221,Regular,2022-08-05
CUST_00222,Budget,2022-09-06
CUST_00223,Regular,2022-12-23
CUST_00224,Budget,2022-07-11
CUST_00225,Regular,2022-04-09
CUST_00226,Regular,2022-04-06
CUST_00227,Regular,2022-07-09
CUST_00228,Regular,2022-09-25
CUST_00229,Regular,2022-01-13
CUST_00230,Budget,2022-12-21
CUST_00231,Premium,2022-09-30
CUST_00232,Regular,2022-03-25
CUST_00233,Budget,2022-12-08
CUST_00234,Regular,2022-01-19
CUST_00235,Regular,2022-08-21
CUST_00236,Budget,2022-09-22
CUST_00237,Regular,2022-07-25
CUST_00238,Regular,2022-02-21
CUST_00239,Regular,2022-05-24
CUST_00240,Regular,2022-04-09
CUST_00241,Regular,2022-02-22
CUST_00242,Budget,2022-02-26
CUST_00243,Premium,2022-06-30
CUST_00244,Regular,2022-08-11
CUST_00245,Premium,2022-06-12
CUST_00246,Budget,2022-08-23
CUST_00247,Budget,2022-08-27
CUST_00248,Premium,2022-03-15
CUST_00249,Budget,2022-09-10
CUST_00250,Budget,2022-06-23
CUST_00251,Budget,2022-06-19
CUST_00252,Regular,2022-10-10
CUST_00253,Budget,2022-01-05
CUST_00254,Regular,2022-12-05
CUST_00255,Regular,2022-12-31
CUST_00256,Regular,2022-05-25
CUST_00257,Budget,2022-08-05
CUST_00258,Regular,2022-10-19
CUST_00259,Regular,2022-10-02
CUST_00260,Budget,2022-07-01
CUST_00261,Budget,2022-07-21
CUST_00262,Budget,2022-02-08
CUST_00263,Regular,2022-06-22
CUST_00264,Premium,2022-08-08
CUST_00265,Regular,2022-05-28
CUST_00266,Premium,2022-11-13
CUST_00267,Budget,2022-01-01
CUST_00268,Regular,2022-12-14
CUST_00269,Budget,2022-07-10
CUST_00270,Regular,2022-11-08
CUST_00271,Regular,2022-04-27
CUST_00272,Budget,2022-02-13
CUST_00273,Budget,2022-06-22
CUST_00274,Premium,2022-05-29
CUST_00275,Premium,2022-08-01
CUST_00276,Budget,2022-08-17
CUST_00277,Regular,2022-05-27
CUST_00278,Budget,2022-02-16
CUST_00279,Regular,2022-01-14
CUST_00280,Regular,2022-01-01
CUST_00281,Regular,2022-09-16
CUST_00282,Budget,2022-01-12
CUST_00283,Budget,2022-09-29
CUST_00284,Budget,2022-06-05
CUST_00285,Regular,2022-05-02
CUST_00286,Premium,2022-03-31
CUST_00287,Regular,2022-11-12
CUST_00288,Regular,2022-08-08
CUST_00289,Regular,2022-08-16
CUST_00290,Budget,2022-05-25
CUST_00291,Regular,2022-07-31
CUST_00292,Regular,2022-08-28
CUST_00293,Premium,2022-02-15
CUST_00294,Premium,2022-03-23
CUST_00295,Regular,2022-07-16
CUST_00296,Regular,2022-01-10
CUST_00297,Budget,2022-08-30
CUST_00298,Regular,2022-01-05
CUST_00299,Premium,2022-10-16
CUST_00300,Budget,2022-05-26
CUST_00301,Budget,2022-06-26
CUST_00302,Regular,2022-10-09
CUST_00303,Regular,2022-12-08
CUST_00304,Budget,2022-06-26
CUST_00305,Budget,2022-04-08
CUST_00306,Premium,2022-11-07
CUST_00307,Budget,2022-07-16
CUST_00308,Budget,2022-12-24
CUST_00309,Budget,2022-01-23
CUST_00310,Budget,2022-06-14
CUST_00311,Budget,2022-03-24
CUST_00312,Regular,2022-03-19
CUST_00313,Regular,2022-01-01
CUST_00314,Budget,2022-07-24
CUST_00315,Regular,2022-10-15
CUST_00316,Premium,2022-04-05
CUST_00317,Premium,2022-06-03
CUST_00318,Regular,2022-04-28
CUST_00319,Budget,2022-11-02
CUST_00320,Budget,2022-02-23
CUST_00321,Budget,2022-08-10
