transaction_id,customer_id,transaction_date,product_category,quantity,unit_price,total_amount,discount_applied,payment_method
TXN_015602,CUST_04917,2022-01-01,Beauty,3,92.74,278.21,False,PayPal
TXN_049376,CUST_01331,2022-01-01,Electronics,4,254.19,1016.76,False,Credit Card
TXN_000464,CUST_02613,2022-01-01,Books,2,7.0,14.0,False,Debit Card
TXN_030732,CUST_04975,2022-01-01,Toys,1,144.78,144.78,False,Credit Card
TXN_012205,CUST_04847,2022-01-01,Beauty,1,18.66,18.66,False,Debit Card
TXN_039175,CUST_04636,2022-01-01,Electronics,1,140.54,140.54,False,Debit Card
TXN_045846,CUST_00841,2022-01-01,Sports,2,118.66,188.0,True,Credit Card
TXN_030676,CUST_00240,2022-01-01,Sports,2,71.75,143.5,False,Credit Card
TXN_047338,CUST_00711,2022-01-01,Electronics,1,104.19,84.25,True,PayPal
TXN_006153,CUST_01647,2022-01-01,Toys,1,19.5,19.5,False,Debit Card
TXN_037332,CUST_03145,2022-01-01,Beauty,1,147.43,147.43,False,PayPal
TXN_041251,CUST_02036,2022-01-01,Sports,3,186.24,529.38,True,Debit Card
TXN_033187,CUST_00011,2022-01-01,Home & Garden,1,102.26,84.74,True,Debit Card
TXN_044577,CUST_01601,2022-01-01,Sports,1,135.18,135.18,False,Credit Card
TXN_032838,CUST_02578,2022-01-01,Books,1,34.6,34.6,False,Debit Card
TXN_025808,CUST_03706,2022-01-01,Beauty,1,39.51,39.51,False,Credit Card
TXN_047888,CUST_01893,2022-01-01,Books,3,30.51,91.53,False,Debit Card
TXN_017294,CUST_01130,2022-01-01,Electronics,2,399.39,798.78,False,Debit Card
TXN_015206,CUST_00984,2022-01-01,Books,1,10.19,8.9,True,Credit Card
TXN_039158,CUST_03947,2022-01-01,Clothing,3,55.55,166.66,False,Credit Card
TXN_047347,CUST_04989,2022-01-01,Books,1,34.1,26.86,True,Credit Card
TXN_027611,CUST_04508,2022-01-01,Clothing,3,173.61,520.82,False,Credit Card
TXN_013883,CUST_03719,2022-01-01,Electronics,3,1233.75,3701.25,False,Credit Card
TXN_010096,CUST_00539,2022-01-01,Toys,1,114.71,114.71,False,PayPal
TXN_045896,CUST_00644,2022-01-01,Beauty,1,51.77,44.63,True,Credit Card
TXN_013130,CUST_03263,2022-01-01,Books,3,40.83,101.92,True,PayPal
TXN_000930,CUST_03879,2022-01-01,Electronics,1,1351.83,1351.83,False,Credit Card
TXN_044301,CUST_03531,2022-01-01,Clothing,1,218.35,218.35,False,Debit Card
TXN_017321,CUST_02529,2022-01-01,Books,4,35.95,143.8,False,Debit Card
TXN_004511,CUST_00527,2022-01-01,Toys,1,223.86,223.86,False,Debit Card
TXN_032096,CUST_03539,2022-01-01,Clothing,3,92.26,276.78,False,Debit Card
TXN_046464,CUST_04329,2022-01-01,Toys,1,39.59,39.59,False,Credit Card
TXN_046191,CUST_04421,2022-01-01,Sports,1,125.33,125.33,False,Debit Card
TXN_017946,CUST_02994,2022-01-01,Beauty,4,111.84,447.36,False,Credit Card
TXN_001055,CUST_00442,2022-01-01,Beauty,1,31.23,29.04,True,Debit Card
TXN_011523,CUST_04652,2022-01-01,Electronics,1,1385.75,1385.75,False,Credit Card
TXN_014594,CUST_03768,2022-01-01,Toys,2,98.21,196.41,False,Credit Card
TXN_013620,CUST_00087,2022-01-01,Beauty,1,215.42,215.42,False,Debit Card
TXN_042298,CUST_01215,2022-01-01,Sports,1,87.44,87.44,False,PayPal
TXN_006347,CUST_03021,2022-01-01,Clothing,1,221.29,221.29,False,Credit Card
TXN_011606,CUST_03816,2022-01-01,Electronics,1,96.29,96.29,False,Credit Card
TXN_045582,CUST_04454,2022-01-01,Sports,1,293.67,293.67,False,Credit Card
